class, main_axis, max_defect, min_defect, area_ratio
0, 128.705, 13206, 1469, 0.363461762309
0, 145.774, 13931, 1783, 0.365953909389
0, 122.723, 11512, 1488, 0.362020514262
0, 129.402, 12900, 114, 0.365265558814
0, 134.536, 13199, 1506, 0.363636363636
0, 143.962, 13927, 1552, 0.364627139726
0, 109.041, 11005, 1400, 0.360659474244
0, 131.229, 13716, 1516, 0.362963401634
0, 2.0, 28330, 28330, 1683.75
0, 117.478, 11400, 1375, 0.361513745091
0, 106.607, 10725, 114, 0.361606412563
0, 140.801, 13884, 162, 0.362713802468
0, 130.782, 12922, 1485, 0.360725652451
0, 120.254, 13026, 1428, 0.360609069844
0, 150.266, 13716, 1758, 0.365213362846
0, 137.186, 13529, 1622, 0.365746737073
0, 139.832, 13579, 114, 0.364249490249
0, 132.231, 13260, 1448, 0.361917666796
0, 121.037, 12385, 1536, 0.361376192868
0, 108.259, 10225, 1323, 0.362684316354
0, 132.034, 11585, 1504, 0.363745658563
0, 2.0, 36446, 36446, 1874.25
0, 123.454, 11954, 1453, 0.364235500879
0, 131.727, 12994, 114, 0.362744569611
0, 131.244, 11538, 1534, 0.362084708857
0, 120.88, 12236, 114, 0.363762467798
0, 121.709, 12038, 1448, 0.361680044285
0, 122.348, 12636, 1410, 0.359352718705
0, 110.164, 10404, 114, 0.361653755473
0, 136.945, 12530, 114, 0.364814226739
0, 112.254, 11165, 1316, 0.360997367651
0, 105.119, 10582, 1149, 0.361684693543
0, 125.706, 12250, 114, 0.36479333928
0, 113.278, 11312, 1360, 0.361579811856
0, 118.596, 12084, 114, 0.361766644693
0, 118.068, 11586, 1356, 0.362061591104
0, 134.718, 13688, 1509, 0.361738437909
0, 110.164, 11090, 1316, 0.360718469348
0, 150.03, 12646, 114, 0.363907449335
0, 133.195, 13333, 114, 0.363927016151
0, 135.724, 13411, 1559, 0.363152179534
0, 114.481, 10906, 114, 0.362410546139
0, 117.516, 11603, 1403, 0.36716100286
0, 113.741, 11177, 162, 0.362392664823
0, 2.0, 32171, 32171, 1666.75
0, 128.515, 12570, 1520, 0.362496404947
0, 121.754, 12303, 114, 0.362452389728
0, 129.838, 12872, 1446, 0.365491251682
0, 136.565, 12563, 1607, 0.364806004155
0, 125.16, 12705, 114, 0.362920754274
0, 117.89, 11655, 1453, 0.36111673073
0, 124.169, 11971, 1413, 0.363277637339
0, 102.786, 10014, 1235, 0.362269429146
0, 140.73, 13762, 1639, 0.360598164722
0, 133.724, 12988, 1490, 0.364615635711
0, 3.0, 37326, 37326, 1091.0
0, 136.125, 13042, 1536, 0.363348361155
0, 137.058, 12937, 1682, 0.367087270999
0, 132.382, 13545, 1400, 0.363545317977
0, 122.381, 12392, 114, 0.363101570812
0, 108.724, 10596, 1267, 0.360658422734
0, 115.603, 11704, 1256, 0.363195950832
0, 108.245, 10808, 1236, 0.362401366631
0, 112.379, 10318, 1331, 0.363725490196
0, 116.069, 11251, 114, 0.364014084507
0, 123.146, 11481, 1271, 0.364571428571
0, 138.221, 13278, 114, 0.365661519199
0, 113.252, 10988, 114, 0.363602558382
0, 115.974, 11344, 1377, 0.361205673759
0, 113.851, 11698, 114, 0.360311835578
0, 144.361, 13046, 201, 0.364506228561
0, 140.52, 13383, 1618, 0.363680309378
0, 139.589, 14056, 114, 0.366820916242
0, 144.586, 13464, 1687, 0.361477572559
0, 135.34, 12728, 1473, 0.363528245788
0, 107.056, 10480, 1253, 0.363298969072
0, 143.003, 12622, 1616, 0.365280808545
0, 140.698, 12541, 114, 0.364167995747
0, 110.059, 10678, 1233, 0.360614020686
0, 144.128, 12326, 1536, 0.3598211791
0, 127.142, 12217, 114, 0.365604116151
0, 130.541, 12844, 1481, 0.36442687747
0, 113.899, 11312, 1349, 0.363076471882
0, 132.231, 12433, 114, 0.364834908412
0, 121.495, 11664, 1536, 0.362921567353
0, 137.535, 13904, 1704, 0.363769432667
0, 125.674, 12548, 1439, 0.36193561182
0, 124.531, 12789, 1370, 0.359734868773
0, 114.11, 10477, 114, 0.363687691563
0, 132.981, 12906, 1580, 0.364122738002
0, 110.318, 11610, 1325, 0.360500844984
0, 140.036, 11584, 1536, 0.36448657188
0, 108.042, 10599, 1388, 0.365187446192
0, 104.561, 10316, 114, 0.362189743146
0, 118.596, 12564, 1355, 0.364858599907
0, 128.876, 12083, 114, 0.363511390416
0, 116.017, 11666, 1319, 0.360550126674
0, 121.758, 13046, 1264, 0.361713814886
0, 146.731, 14187, 1629, 0.363664693051
0, 139.435, 12010, 1622, 0.36225753822
