class, main_axis, max_defect, min_defect, area_ratio
0, 3.0, 16639, 16639, 444.375
0, 100.449, 9535, 114, 0.3769268056228793
0, 111.364, 11088, 142, 0.3763623978201635
0, 2.0, 19248, 19248, 816.0
0, 109.165, 10503, 142, 0.3786218651083516
0, 4.0, 17291, 17291, 316.8333333333333
0, 89.471, 9435, 181, 0.37836394703118326
0, 3.0, 17350, 17350, 480.5
0, 3.0, 19731, 19731, 438.25
0, 112.929, 11340, 229, 0.37926093514328807
0, 3.162, 17780, 17780, 329.42857142857144
0, 87.864, 8448, 1236, 0.3758641600970285
0, 86.822, 9148, 114, 0.37833392080836564
0, 4.0, 20077, 20077, 359.6666666666667
0, 117.72, 11068, 114, 0.37943031093716023
0, 3.162, 19152, 19152, 362.90909090909093
0, 3.162, 22116, 22116, 352.64285714285717
0, 3.0, 23127, 23127, 426.25
0, 4.123, 15058, 358, 267.75
0, 106.775, 10093, 1355, 0.3794424753328863
0, 4.123, 30065, 30065, 335.2352941176471
0, 115.117, 9124, 1280, 0.3743657207291862
0, 97.35, 10200, 114, 0.3740376181658708
0, 4.0, 22627, 22627, 335.42857142857144
0, 89.944, 8575, 114, 0.3756103515625
0, 4.123, 9984, 9984, 251.1764705882353
0, 95.771, 9189, 142, 0.37566645340157817
0, 3.0, 10240, 10240, 373.875
0, 3.162, 14409, 14409, 314.35714285714283
0, 3.162, 27362, 27362, 367.54545454545456
0, 3.0, 16614, 16614, 506.375
0, 88.391, 8784, 114, 0.37834132967786155
0, 106.677, 10627, 435, 0.3809987604037542
0, 100.17, 10475, 181, 0.3753200204813108
0, 4.123, 19972, 19972, 260.7647058823529
0, 3.0, 12032, 12032, 431.125
0, 3.0, 15568, 15568, 513.75
0, 111.611, 9677, 114, 0.3799376821791135
0, 3.0, 19099, 19099, 447.25
0, 3.162, 15592, 15592, 366.0
0, 3.162, 15464, 15464, 426.54545454545456
0, 5.0, 20879, 20879, 277.8
0, 2.0, 16384, 16384, 740.25
0, 3.0, 16601, 16601, 407.375
0, 90.0, 8651, 1164, 0.3738804163640765
0, 3.0, 23573, 23573, 574.5
0, 111.826, 10987, 114, 0.37622162370142365
0, 3.162, 15985, 15985, 444.8181818181818
0, 3.162, 11547, 11547, 366.1818181818182
0, 108.116, 9165, 114, 0.3778622137786221
0, 3.0, 22792, 22792, 469.75
0, 4.0, 18539, 18539, 403.9166666666667
0, 3.162, 15169, 15169, 347.8181818181818
0, 2.0, 15691, 15691, 770.25
0, 3.0, 13891, 13891, 417.25
0, 2.0, 21172, 21172, 966.0
0, 2.0, 20480, 20480, 766.75
0, 4.123, 25339, 25339, 325.3529411764706
0, 3.162, 9728, 9728, 362.54545454545456
0, 101.71, 9700, 114, 0.3760330578512397
0, 3.162, 14622, 14622, 255.28571428571428
0, 4.0, 14392, 14392, 388.1666666666667
0, 114.56, 11135, 142, 0.3809762741022149
0, 3.162, 21927, 21927, 301.14285714285717
0, 3.0, 11238, 11238, 468.5
0, 5.099, 29180, 29180, 265.4347826086956
0, 3.162, 27252, 27252, 414.90909090909093
0, 3.0, 11213, 11213, 489.125
0, 2.0, 19200, 19200, 720.0
0, 3.0, 19007, 19007, 561.125
0, 3.162, 22676, 22676, 400.0
0, 3.0, 11776, 11776, 546.875
0, 3.162, 10240, 10240, 418.54545454545456
0, 3.162, 19692, 19692, 346.3636363636364
0, 2.0, 22016, 22016, 965.0
0, 3.0, 22260, 22260, 433.25
0, 95.441, 9298, 181, 0.37530784880608203
0, 3.0, 13214, 13214, 431.375
0, 3.162, 18389, 18389, 378.27272727272725
0, 3.0, 12731, 12731, 441.0
0, 4.123, 26472, 26472, 302.11764705882354
0, 3.0, 24915, 24915, 539.0
0, 2.0, 13845, 13845, 722.25
0, 105.323, 11156, 229, 0.3821055114395786
0, 3.162, 19731, 19731, 338.14285714285717
0, 3.0, 13455, 13455, 384.625
0, 3.0, 10479, 10479, 421.5
0, 4.0, 23484, 23484, 389.75
0, 3.0, 14131, 14131, 475.375
0, 3.0, 17432, 17432, 391.625
0, 3.0, 16685, 16685, 518.5
0, 3.162, 20950, 20950, 341.90909090909093
0, 94.826, 9148, 1252, 0.37604881769641496
0, 108.665, 9964, 142, 0.381725620995348
0, 2.0, 10418, 10418, 760.75
0, 4.0, 18356, 18356, 337.5
0, 3.162, 12600, 12600, 330.90909090909093
0, 4.123, 19463, 19463, 284.88235294117646
0, 3.162, 12681, 12681, 325.85714285714283
0, 108.046, 10978, 114, 0.37540940072585643
