class, main_axis, max_defect, min_defect, area_ratio
1, 130.782, 12922, 1485, 0.36072565245066834
1, 146.731, 14187, 1629, 0.36366469305079463
1, 140.036, 11584, 1536, 0.3644865718799368
1, 120.88, 12236, 114, 0.3637624677984015
1, 2.0, 28330, 28330, 1683.75
1, 110.059, 10678, 1233, 0.3606140206862584
1, 143.962, 13927, 1552, 0.36462713972635197
1, 117.478, 11400, 1375, 0.3615137450910389
1, 108.259, 10225, 1323, 0.3626843163538874
1, 143.003, 12622, 1616, 0.36528080854484896
1, 132.382, 13545, 1400, 0.36354531797696543
1, 123.454, 11954, 1453, 0.36423550087873463
1, 109.041, 11005, 1400, 0.3606594742440359
1, 140.698, 12541, 114, 0.36416799574694314
1, 121.758, 13046, 1264, 0.36171381488602034
1, 140.73, 13762, 1639, 0.36059816472187606
1, 113.899, 11312, 1349, 0.3630764718821028
1, 121.754, 12303, 114, 0.3624523897284679
1, 136.565, 12563, 1607, 0.3648060041546606
1, 116.069, 11251, 114, 0.36401408450704226
1, 122.381, 12392, 114, 0.36310157081169037
1, 131.727, 12994, 114, 0.3627445696113836
1, 139.589, 14056, 114, 0.3668209162424803
1, 110.164, 10404, 114, 0.3616537554732233
1, 108.042, 10599, 1388, 0.3651874461923769
1, 106.607, 10725, 114, 0.3616064125633895
1, 133.195, 13333, 114, 0.36392701615125955
1, 135.724, 13411, 1559, 0.363152179533585
1, 138.221, 13278, 114, 0.36566151919866446
1, 122.348, 12636, 1410, 0.3593527187054374
1, 132.034, 11585, 1504, 0.3637456585626503
1, 117.89, 11655, 1453, 0.3611167307303257
1, 137.058, 12937, 1682, 0.36708727099941924
1, 118.596, 12084, 114, 0.36176664469347397
1, 112.379, 10318, 1331, 0.3637254901960784
1, 114.481, 10906, 114, 0.3624105461393597
1, 118.596, 12564, 1355, 0.36485859990727865
1, 107.056, 10480, 1253, 0.36329896907216497
1, 145.774, 13931, 1783, 0.3659539093889992
1, 136.945, 12530, 114, 0.36481422673864716
